"('a', 19)",
"('ac', 14)",
"('accumsan', 10)",
"('ad', 14)",
"('adipiscing', 14)",
"('aenean', 12)",
"('aliquam', 13)",
"('aliquet', 10)",
"('amet', 12)",
"('ante', 18)",
"('aptent', 10)",
"('arcu', 18)",
"('at', 14)",
"('auctor', 10)",
"('augue', 9)",
"('bibendum', 11)",
"('blandit', 12)",
"('class', 10)",
"('commodo', 9)",
"('congue', 12)",
"('consequat', 11)",
"('conubia', 16)",
"('convallis', 17)",
"('cras', 9)",
"('cubilia', 15)",
"('cum', 13)",
"('curabitur', 10)",
"('curae', 18)",
"('cursus', 12)",
"('dapibus', 17)",
"('diam', 20)",
"('dictum', 15)",
"('dictumst', 9)",
"('dignissim', 10)",
"('dis', 17)",
"('dolor', 15)",
"('donec', 17)",
"('dui', 16)",
"('duis', 18)",
"('egestas', 16)",
"('eget', 16)",
"('eleifend', 13)",
"('elementum', 8)",
"('elit', 12)",
"('elitaptent', 1)",
"('enim', 16)",
"('erat', 13)",
"('eros', 14)",
"('est', 11)",
"('et', 14)",
"('etiam', 21)",
"('eu', 14)",
"('euismod', 8)",
"('facilisi', 8)",
"('facilisis', 14)",
"('fames', 8)",
"('faucibus', 12)",
"('felis', 11)",
"('fermentum', 19)",
"('feugiat', 13)",
"('fringilla', 12)",
"('fusce', 7)",
"('gravida', 5)",
"('habitant', 21)",
"('habitasse', 14)",
"('hac', 15)",
"('hendrerit', 21)",
"('hymenaeos', 13)",
"('iaculis', 9)",
"('id', 11)",
"('imperdiet', 11)",
"('in', 14)",
"('inceptos', 18)",
"('integer', 17)",
"('interdum', 18)",
"('ipsum', 10)",
"('justo', 10)",
"('lacinia', 13)",
"('lacus', 10)",
"('laoreet', 22)",
"('lectus', 15)",
"('leo', 17)",
"('libero', 11)",
"('ligula', 12)",
"('litora', 15)",
"('lobortis', 7)",
"('lorem', 13)",
"('luctus', 13)",
"('maecenas', 14)",
"('magna', 5)",
"('magnis', 15)",
"('malesuada', 13)",
"('massa', 8)",
"('mattis', 11)",
"('mauris', 11)",
"('metus', 8)",
"('mi', 10)",
"('molestie', 10)",
"('mollis', 17)",
"('montes', 22)",
"('morbi', 14)",
"('mus', 10)",
"('nam', 10)",
"('nascetur', 24)",
"('natoque', 17)",
"('nec', 15)",
"('neque', 12)",
"('netus', 17)",
"('nibh', 12)",
"('nisi', 8)",
"('nisl', 8)",
"('non', 13)",
"('nonummy', 12)",
"('nostra', 9)",
"('nulla', 7)",
"('nullam', 13)",
"('nunc', 13)",
"('odio', 20)",
"('orci', 18)",
"('ornare', 7)",
"('parturient', 9)",
"('pede', 11)",
"('penatibus', 13)",
"('per', 12)",
"('pharetra', 11)",
"('phasellus', 8)",
"('placerat', 18)",
"('platea', 11)",
"('porta', 13)",
"('porttitor', 17)",
"('posuere', 12)",
"('potenti', 11)",
"('praesent', 21)",
"('pretium', 11)",
"('primis', 7)",
"('proin', 8)",
"('pulvinar', 14)",
"('purus', 21)",
"('quam', 11)",
"('quis', 9)",
"('quisque', 21)",
"('rhoncus', 18)",
"('ridiculus', 9)",
"('risus', 12)",
"('rutrum', 17)",
"('sagittis', 13)",
"('sapien', 18)",
"('sed', 10)",
"('sem', 10)",
"('semper', 16)",
"('senectus', 11)",
"('sit', 19)",
"('sociis', 17)",
"('sociosqu', 11)",
"('sodales', 14)",
"('suscipit', 13)",
"('taciti', 13)",
"('tellus', 20)",
"('tempor', 11)",
"('tempus', 20)",
"('tincidunt', 9)",
"('torquent', 13)",
"('tortor', 10)",
"('tristique', 11)",
"('turpis', 12)",
"('ultrices', 10)",
"('ultricies', 13)",
"('urna', 19)",
"('ut', 11)",
"('varius', 12)",
"('vehicula', 15)",
"('vel', 17)",
"('velit', 12)",
"('veljusto', 1)",
"('venenatis', 18)",
"('vestibulum', 12)",
"('vitae', 16)",
"('vivamus', 22)",
"('viverra', 13)",
"('volutpat', 13)",
"('vulputate', 9)",
"('MAIORES QUE DEZ', 119)",
